17;7577608;7578243	TP53	17;7577608;7578243	66	1	-;-	15	13	BRCA	0	0	0	0	0	0	0	0	0	13																						
17;7578497;7579312	TP53	17;7578497;7579312	57	1	-;-	16	54	LUSC	0	0	0	0	0	0	0	0	0	54																						
17;7578472;7578506	TP53	17;7578472;7578506	34	1	+;-	17	45	LUAD	0	0	0	0	0	0	0	0	0	45																						
17;7577131;7577499	TP53	17;7577131;7577499	24	3	-;-	17	28	LUSC	0	0	0	0	0	0	0	0	0	17	LUAD	0	0	0	0	0	0	0	0	0	18	PRAD	0	0	0	0	0	0	0	0	0	28
17;7578554;7579512	TP53	17;7578554;7579512	200	2	-;-	17	18	LUSC	0	0	0	0	0	0	0	0	0	18	LUAD	0	0	0	0	0	0	0	0	0	4											
17;7574033;7576541	TP53	17;7574033;7576541	16	1	-;-	15	13	LUSC	0	0	0	0	0	0	0	0	0	13																						
17;7578289;7578417	TP53	17;7578289;7578417	46	1	-;-	18	38	LUSC	0	0	0	0	0	0	0	0	0	38																						
17;7577657;7578177	TP53	17;7577657;7578177	49	2	-;-	20	36	LUSC	0	0	0	0	0	0	0	0	0	36	BRCA	0	0	0	0	0	0	0	0	0	12											
17;7577158;7577499	TP53	17;7577158;7577499	3	3	-;-	17	118	LUSC	0	0	0	0	0	0	0	0	0	28	LUAD	0	0	0	0	0	0	0	0	0	43	BRCA	0	0	0	0	0	0	0	0	0	118
17;7579571;7579700	TP53	17;7579571;7579700	19	1	-;-	16	12	LUAD	0	0	0	0	0	0	0	0	0	12																						
